rank,french,pos,gender,english,sentence_fr,sentence_en,ipa
3766,diplomatie,nf,feminine,diplomacy,il y faut toute une diplomatie et une patience infinie,there we need true diplomacy and infinite patience,diplɔmasi
3767,lieutenant,nm,masculine,lieutenant,"la guerre est finie, mon lieutenant","the war is over, Lieutenant",ljøt(ə)nɑ͂
3768,réputé,adj,,"famous, renowned",son personnel est réputé pour son service hors pair,its staff has a reputation for unequalled service,ʀepyte
3769,indirect,adj,,indirect,est-ce une référence indirecte à la religion?,is that an indirect reference to religion?,ɛ͂diʀɛkt
3770,apte,adj(f),,capable,la France est parfaitement apte à s’adapter,France is perfectly able to adapt,apt
3771,dépêcher,v,,"to dispatch, send, hurry","j’ai bloqué l’ascenseur, dépêchez vous, vite","I’m holding the elevator—hurry up, quick",depeʃe
3772,démentir,v,,"to deny, refute, contradict",la Maison Blanche a démenti cette nouvelle version,the White House contradicted this new version,demɑ͂tiʀ
3773,sud-ouest,nmi,masculine,south-west,quelque chose approche en provenance du sud-ouest,something is coming from the south-west,sydwɛst
3774,envergure,nf,feminine,"wingspan, breadth, scope",quel projet d’envergure se fait instantané- ment?,what large-scale project happens in an instant?,ɑ͂vɛʀgyʀ
3775,touche,nf,feminine,"button, key, touch, touchline",elle appuie sur une touche. allo?,she pushes a button. hello?,tuʃ
3776,déterminant,nadj,masculine,"determining, deciding, crucial",il a joué un rôle déterminant lors du coup d’Etat,he played a crucial role during the insurrection,detɛʀminɑ͂
3777,sous-marin,nadj,masculine,"submarine, underwater",la marine chinoise dispose de 69 sous-marins,the Chinese navy has 69 submarines,sumaʀɛ͂
3778,acheminement,nm,masculine,"routing, shipment",il aurait organisé l’acheminement des explosifs,he allegedly organized the shipment of explosives,aʃ(ə)minmɑ͂
3779,externe,nadj(f),,"external, outer",les problèmes externes se révèlent aussi importants,the external problems prove as important,ɛkstɛʀn
3780,hôte,nm,masculine,"host, guest",je sais accueillir mes hôtes,I know how to welcome my guests,ot
3781,assassin,nadj,masculine,"murderer, assassin",l’assassin cache peut-être ses victimes,the assassin might be hiding his victims,asasɛ͂
3782,confirmation,nf,feminine,confirmation,les syndicats veulent une confirmation écrite,the unions want written confirmation,kɔ͂fiʀmasjɔ͂
3783,tapis,nm(pl),masculine,"carpet, mat, covering",il faut les accueillir avec le tapis rouge,they should be given a red-carpet welcome,tapi
3784,corde,nf,feminine,"rope, chord, string",je l’ai étranglé. avec une corde,I strangled him. with a rope,kɔʀd
3785,notable,nadj(f),,"notable, noteworthy",il y a des disparités notables entre pays,there are noteworthy disparities among countries,nɔtabl
3786,rationnel,nadj,,rational,il y a une explication rationnelle à tout cela,there’s a rational explanation for all that,ʀasjɔnɛl
3787,divin,"adj,nm",,"divine, heavenly","vous êtes divine, adorable","you’re divine, adorable","divɛ͂, in"
3788,endormir,v,,"to put to sleep, fall asleep",je ne voulais surtout pas m’endormir au volant,I certainly didn’t want to fall asleep at the wheel,ɑ͂dɔʀmiʀ
3789,épais,"adj(pl),adv",,"thick, pitch dark, thickly",c’était des lunettes très épaisses,they were very thick eyeglasses,"epɛ, ɛs"
3790,exposé,nadj,masculine,"account, statement, talk",j’en ai parlé dans mon exposé,I spoke of it in my statement,ɛkspoze
3791,boutique,nf,feminine,shop,"les émeutiers pillèrent les boutiques, les maisons, les ateliers","the rioters looted shops, houses, workshops",butik
3792,récolter,v,,"to harvest, gather",je récolte en permanence les histoires des gens,I gather for posterity people’s stories,ʀekɔlte
3793,tchèque,nadj(f),masc / fem,Czech,la République tchèque est l’une des grandes démocraties,the Czech Republic is one of the great democracies,tʃɛk
3794,autoroute,nf,feminine,"motorway, highway, freeway",de nombreuses autoroutes ont dû être fermées,many highways had to be closed,otoʀut
3795,maternité,nf,feminine,"maternity, motherhood",j’ai pris un congé maternité,I took maternity leave,matɛʀnite
3796,là-dedans,adv,,"inside, in it",maintenant rentre là-dedans et fais-moi du thé,now go back inside and make me some tea,lad(ə)dɑ͂
3797,différend,nm,masculine,"disagreement, controversy",nous venons de régler le différend qui nous opposait,we have just resolved the disagreement that separated us,difeʀɑ͂
3798,explicite,adj(f),,explicitly,c’étaient des impératifs assez explicites,they were rather explicit requirements,ɛksplisit
3799,comté,nm,masculine,"county, earldom",c’est un des plus beaux comtés au Canada,it’s one of the most beautiful counties in Canada,kɔ͂te
3800,par-dessus,adv,,over,elle voulait un enfant par-dessus tout,she wanted a child more than anything,paʀdəsy
3801,quota,nm,masculine,quota,il ne peut justifier une hausse des quotas de phoques,he can’t justify raising the seal quota,k(w)ɔta
3802,tailler,v,,"to cut, carve, engrave, sharpen, trim",le résultat fut une cote mal taillée,the result was a badly tailored quote,tɑje
3803,apparent,adj,,"apparent, obvious",je me surprenais à pleurer sans cause apparente,I surprised myself by weeping without any apparent cause,"apaʀɑ͂, ɑ͂t"
3804,enfuir,v,,"to run away, flee","je voudrais m’enfuir, mais je suis comme paralysée",I wanted to escape but it’s like I’m paralyzed,ɑ͂fɥiʀ
3805,assistant,nm,masculine,assistant,j’ai demandé à être assistant stagiaire,I asked to be an intern,"asistɑ͂, ɑ͂t"
3806,portion,nf,feminine,"portion, share",les pannes ont frappé de larges portions du sud de Moscou,blackouts hit large portions of southern Moscow,pɔʀsjɔ͂
3807,allocation,nf,feminine,"allocation, granting, allotment, allowance",il dirigeait l’allocation des ressources,he directed the allocation of resources,alɔkasjɔ͂
3808,spéculation,nf,feminine,speculation,la fièvre de la spéculation a produit les mariages d’argent,speculation madness led to money marriages,spekylasjɔ͂
3809,décéder,v,,"to die, pass away, pass on",une vieille dame est décédée pendant qu’elle dormait,an elderly woman died in her sleep,desede
3810,serré,"adj,adv",,"tight, packed, crowded",le budget est serré cette année,the budget is tight this year,seʀe
3811,enquêter,v,,"to investigate, hold inquiry, conduct a survey",tu veux vraiment enquêter sur lui?,you really want to investigate him?,ɑ͂kete
3812,dix-sept,"det,nmi",,seventeen,la ville brûla pendant dix-sept jours,the city burned for seventeen days,dissɛt
3813,allonger,v,,"to lengthen, extend, stretch out",je m’allongeai sur mon lit,I stretched out on my bed,alɔ͂ʒe
3814,chauffeur,nm,masculine,"driver, chauffeur",le chauffeur du véhicule n’a pas été identifié,the driver of the vehicle has not been identified,ʃofœʀ
3815,prospérité,nf,feminine,prosperity,la société japonaise a connu une grande prospérité,Japanese society enjoyed great prosperity,pʀɔspeʀite
3816,ambiguïté,nf,feminine,ambiguity,cette affirmation cache encore bien des ambiguïtés,this assertion still hides several ambiguities,ɑ͂bigɥite
3817,bourgeois,nadj(pl),masculine,middle class,ses parents vivaient comme des bourgeois,her parents lived like middle-class people,buʀʒwa
3818,touristique,adj(f),,"holiday, tourist",elle évite les lieux touristiques,she avoids tourist traps,tuʀistik
3819,obscur,adj,,"dark, vague, obscure",c’est le combat entre les forces obscures et les forces de la lumière,it’s the struggle between the dark forces and the forces of light,ɔpskyʀ
3820,cou,nm,masculine,neck,elle nouait ses bras à mon cou,she wrapped her arms around my neck,ku
3821,invention,nf,feminine,invention,le calendrier est une invention humaine,the calendar is a human invention,ɛ͂vɑ͂sjɔ͂
3822,boucle,nf,feminine,"loop, buckle, curl",ils sont si mignons avec leurs boucles blondes,they are so cute with their blond curls,bukl
3823,flou,adj,masculine,"blurred, fuzzy, vague","tout dans la pièce lui sembla flou, déformé",everything in the room seemed blurred to him,flu
3824,redire,v,,"to say again, repeat",je te l’ai dit et redit,"I told you once, and then again",ʀ(ə)diʀ
3825,consultatif,adj,,advisory,ils seront réduits à un rôle consultatif,they will be relegated to an advisory role,"kɔ͂syltatif, -iv"
3826,torturer,v,,to torture,elle m’a torturée mentalement toute l’année,she tortured me mentally all year long,tɔʀtyʀe
3827,carton,nm,masculine,"cardboard, card, score",il y a une petite boîte de carton où vous trouverez un carnet de timbres,there is a little cardboard box where you will find a book of stamps,kaʀtɔ͂
3828,effrayer,v,,"to frighten, scare",le futur m’attirait et m’effrayait à la fois,the future both attracted me and scared me,efʀeje
3829,pitié,nf,feminine,"pity, mercy",enfin le ciel eut pitié de cette mère malheureuse,finally heaven had pity on this unhappy mother,pitje
3830,complexité,nf,feminine,complexity,le livre explore la complexité de la société de l’information,the book explores the complexity of the information society,kɔ͂plɛksite
3831,favori,nadj,masculine,favorite,le favori a gagné. nous le félicitons,the faorite won. we congratulated him,favɔʀi
3832,noyau,nm,masculine,"core, nucleus, pit",il recracha le noyau d’une olive,he spat out an olive pit,nwajo
3833,brandir,v,,"to brandish, wield, wave",il brandit longuement les poings sous l’ovation,he pumped his fists as the crowd cheered,bʀɑ͂diʀ
3834,repenser,v,,to rethink,il faut complètement repenser le tourisme,tourism must be completely rethought,ʀ(ə)pɑ͂se
3835,timide,nadj(f),,"timid, shy, bashful","sois pas timide, petit minou","don’t be timid, little buddy",timid
3836,audition,nf,feminine,"hearing, examination, audition",on a assisté aux auditions,we attended the hearings,odisjɔ͂
3837,comptabilité,nf,feminine,"accountancy, accounting, book-keeping",il a fait beaucoup de travail en comptabilité,he worked extensively in accounting,kɔ͂tabilite
3838,précaire,adj(f),,"precarious, makeshift",le futur de leurs fils devient précaire,their son’s future was becoming precarious,pʀekɛʀ
3839,trône,nm,masculine,throne,nous sommes des auxiliaires du trône pontifical,we are assistants to the pontifical throne,tʀon
3840,insulter,v,,to insult,jamais je ne vous aurais insulté de propos délibérés,I never would have insulted you deliberately,ɛ͂sylte
3841,saut,nm,masculine,"jump, leap",il a fait le grand saut,he made the big leap,so
3842,amende,nf,feminine,fine,il devra payer l’amende,he’ll have to pay the fine,amɑ͂d
3843,différemment,adv,,differently,les femmes ont voté différemment de leurs maris,the women voted differently from their husbands,difeʀamɑ͂
3844,programmation,nf,feminine,programming,c’est trois heures de programmation par jour en direct,it’s three hours of live daily programming,pʀɔgʀamasjɔ͂
3845,crédible,adj(f),,credible,"notre système est crédible, reconnu mondialement","our system is credible, recognized worldwide",kʀedibl
3846,justification,nf,feminine,"justification, proof",on ne saurait trouver de justification au terrorisme,there’s no justification for terrorism,ʒystifikasjɔ͂
3847,conservation,nf,feminine,"preservation, preserving, retention",quelles mesures de conservation peuvent être prises,what conservation measures can be taken,kɔ͂sɛʀvasjɔ͂
3848,transit,nm,masculine,transit,le fric est en transit. bouge pas,the loot is on its way. don’t move,tʀɑ͂zit
3849,organisateur,nadj,masculine,"organiser, organising",il a été l’un des principaux organisateurs,he was one of the principal organizers,ɔʀganizatœʀ
3850,galerie,nf,feminine,gallery,il y a toute une galerie de personnages,there’s a whole range of personalities,galʀi
3851,aménagement,nm,masculine,"development, planning, fitting, adjustment","alors, on a fait des aménagements","so, we made some adjustments",amenaʒmɑ͂
3852,manifestant,nm,masculine,"protester, demonstrator",les manifestants ont fait monter la pression,the protesters increased the pressure,"manifɛstɑ͂, ɑ͂t"
3853,char,nm,masculine,tank,j’entends vaguement les chars qui s’approchent,I barely hear the tanks as they approach,ʃaʀ
3854,criminalité,nf,feminine,crime,la prévention de la criminalité devrait être notre objectif final,crime prevention should be our ultimate goal,kʀiminalite
3855,masquer,v,,"to mask, conceal, put on a mask","le brouillard descendit des montagnes, masquant le coucher de soleil","the fog rolled down the mountains, masking the sunset",maske
3856,masque,nm,masculine,mask,je voudrais voir le visage derrière ce masque,I would like to see the face behind that mask,mask
3857,dorénavant,adv,,"from now on, henceforth",j’écrirai dorénavant sur les deux côtés de la page,from now on I will write on both sides of the page,dɔʀenavɑ͂
3858,festival,nm,masculine,festival,j’étais dans un festival de musique,I was in a music festival,fɛstival
3859,prôner,v,,"to laud, extol, advocate, commend",l’évangile prône la pauvreté,the gospel preaches poverty,pʀone
3860,radicalement,adv,,radically,"aujourd’hui, la situation est radicalement différente","today, the situation is radically different",ʀadikalmɑ͂
